Filt rate(m3/m2h),Filt rate (m/s),Initial depth (m),Final depth (m),Porosity,Media size (m),Actual loss (m)
34.2227915137294,0.00950633097603594,0.6,0.712,0.64576911603858,0.0012,0.09906
36.667276621853,0.0101853546171814,0.6,0.71,0.644771282562632,0.0012,0.10668
39.1117617299765,0.0108643782583268,0.6,0.708,0.64376781160942,0.0012,0.1143
44.0007319462234,0.0122224255406176,0.6,0.706,0.64275865526837,0.0012,0.14986
48.8897021624706,0.0135804728229085,0.6,0.703,0.641234154508491,0.0012,0.16002
53.7786723787175,0.0149385201051993,0.6,0.7,0.639696586599241,0.0012,0.1905
58.6676425949647,0.0162965673874902,0.6,0.698,0.638664198595228,0.0012,0.20828
61.1121277030882,0.0169755910286356,0.6,0.696,0.637625877326823,0.0012,0.2286
63.5566128112116,0.017654614669781,0.6,0.694,0.636581571497794,0.0012,0.24892
68.4455830274588,0.0190126619520719,0.6,0.691,0.635003778031069,0.0012,0.2794
