Lookout
Dag	P	T	Q
520331	0	3.23666047655556	12.9344750108939
520401	0	3.469335438	10.4651661451778
520402	20.48256	6.52489099355556	10.7395337969241
520403	0	9.6	10.4651661451778
520404	0	13.45	10.1124077357898
520405	0	15	12.7776934956104
520406	0	10.65	17.5203343329382
520407	0	6.7	17.3243574388337
520408	0	7.6	13.8359687237744
520409	0	9.1	11.2490737215956
520410	0	9.65	10.3475800087152
520411	0	11.15	10.1124077357898
520412	0	10.6	9.83804008404358
520413	1.92024	5.6	10.7395337969241
520414	13.44168	3.8	11.131487585133
520415	0	5.35	10.2299938722525
520416	0	8.85	9.25010940173021
520417	0	12.75	9.83804008404358
520418	0	11.15	13.4048195567446
520419	9.92124	9	14.1887271331624
520420	0	9.15	10.5827522816405
520421	0	8.6	8.8973509923422
520422	0	13.9	8.34861568884973
520423	0	11.5	8.23102955238706
520424	0	10.1	9.48528167465556
520425	5.76072	10.5	11.7978090250881
520426	0	14.1	12.0721766768343
520427	0	11.05	11.5234413733419
520428	18.24228	3.75	11.5234413733419
520429	0.64008	6.75	8.34861568884973
520430	10.56132	9.7	7.52551273361102
520501	6.4008	6.85	7.05516818776033
520502	0	6.15	6.31045599016341
520503	0	6.9	5.72252530785005
520504	0	6.25	5.13459462553669
520505	0	6.95	4.74264083732778
520506	0	10.75	4.62505470086511
520507	0	10.75	4.89942235261134
520508	0	10.75	6.15367447487985
520509	0	10.45	5.99689295959628
520510	0	13.5033578324444	6.15367447487985
520511	0	12.9	6.7808005360141
520512	0	12.1	6.97677743011855
520513	17.28216	7.6	7.83907576417815
520514	10.24128	8.1	7.32953583950657
520515	0	12.1	6.50643288426786
520516	0	13.25	6.66321439955143
520517	0	14.3	7.52551273361102
520518	0	14.5	7.72148962771548
520519	6.08076	11.05	7.83907576417815
520520	3.84048	13.35	7.32953583950657
520521	0	11.8	6.42804212662608
520522	0	12.75	5.64413455020827
520523	0	15.05	5.87930682313361
520524	0	12.5	6.15367447487985
520525	0	13.5	5.99689295959628
520526	0	15.4	5.56574379256648
520527	0	16.9	5.64413455020827
520528	0.64008	13	5.80091606549183
520529	0	12.85	4.97781311025312
520530	0	10.1700244991111	4.54666394322333
520531	0	13.5033578324444	4.11551477619353
520601	0	9.71118827177778	3.64517023034284
520602	0	14.1556327162222	3.60597485152195
520603	0	16.5	3.64517023034284
520604	0	15.6	3.64517023034284
520605	0	15.25	3.84114712444729
520606	0	14.1	3.60597485152195
520607	0	17.3	3.21402106331304
520608	0	17.6	3.09643492685037
520609	0	14.9	3.09643492685037
520610	0.96012	10.95	2.90045803274591
520611	13.44168	6.05	2.82206727510413
520612	6.4008	7.9	2.5476996233579
520613	3.84048	9.5	2.39091810807433
520614	7.04088	11.3778549384444	2.39091810807433
520615	0	8.04452160511111	2.43011348689523
520616	0	10.8222993828889	2.19494121396988
520617	0	15.75	2.19494121396988
520618	0	16	2.15574583514899
520619	0	18.05	2.1165504563281
520620	0	9.65	2.07735507750721
520621	0	12.25	1.99896431986543
520622	0	13.85	1.84218280458186
520623	0	8.85	1.92057356222365
520624	0	12.7667438273333	2.03815969868632
520625	0	13.3	1.88137818340276
520626	0	15.15	1.80298742576097
520627	0	14.9889660495556	1.84218280458186
520628	0	16.45	2.23413659279077
520629	46.72584	15.8222993828889	3.40999795741749
520630	14.08176	12.4889660495556	3.52758409388017
520701	0	15.4	2.90045803274591
520702	0	16.65	2.5476996233579
520703	0	18.4	2.27333197161166
520704	0	20.9436304441111	2.1165504563281
520705	0	18.9991859996667	1.88137818340276
520706	0	15.55	1.6854012892983
520707	0	18.25	1.52861977401474
520708	0	21.6	1.45022901637296
520709	0	25.4	1.37183825873118
520710	0	20.4	1.2542521222685
520711	0	19.9	1.2542521222685
520712	0	18.9	1.17586136462672
520713	0	20.5	1.13666598580583
520714	0	21	1.13666598580583
520715	0	20.75	1.05827522816405
520716	0	19.25	1.01907984934316
520717	0	17.95	1.01907984934316
520718	0	16.1	0.940689091701378
520719	0	14.05	0.940689091701378
520720	0	14.05	0.940689091701378
520721	0	15.8	0.940689091701378
520722	0	17.6	0.940689091701378
520723	0	13.35	0.901493712880487
520724	0	17.3	0.901493712880487
520725	0	23.75	0.901493712880487
520726	0	21.2214082218889	0.862298334059596
520727	0	20.9436304441111	0.862298334059596
520728	0	16.65	0.823102955238706
520729	0	19.7	0.823102955238706
520730	0	19.95	0.823102955238706
520731	0	20.65	0.823102955238706
520801	0	20.65	0.823102955238706
520802	0	25.3	0.783907576417815
520803	0	22.018624772	0.783907576417815
520804	0	20.5	0.783907576417815
520805	0	16.4	0.783907576417815
520806	0	17.6	0.744712197596924
520807	0	17.35	0.744712197596924
520808	0	15.5	0.744712197596924
520809	0	18.1297358831111	0.744712197596924
520810	0	20.6297358831111	0.744712197596924
520811	0	20	0.705516818776033
520812	0	21.25	0.705516818776033
520813	0	17.75	0.705516818776033
520814	0	16.75	0.705516818776033
520815	0	15.95	0.705516818776033
520816	0	16.25	0.705516818776033
520817	0	16.7408469942222	0.705516818776033
520818	0	14.45	0.705516818776033
520819	0	13.25	0.705516818776033
520820	0	16.15	0.666321439955143
520821	0	15.3	0.666321439955143
520822	0	16.3	0.666321439955143
